Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"18/02/2023","16:54","18/02/2023","17:27","Pebble Ave 21,3975 Melbourne,Australia","-38.07718277777778,145.25546833333334","Pebble Ave 19,3975 Melbourne,Australia","-38.07718222222222,145.2554152777778","00:33","29.4","3.5","58.0","3.5","18.8"
"17/02/2023","17:52","17/02/2023","18:01","High St 151,3977 Melbourne,Australia","-38.10798666666667,145.28252361111112","Pebble Ave 19,3975 Melbourne,Australia","-38.07718,145.2553625","00:09","5.6","3.9","33.0","3.9","3.2"
"17/02/2023","16:48","17/02/2023","17:04","Pebble Ave 21,3975 Melbourne,Australia","-38.07736583333333,145.25540777777778","High St 151,3977 Melbourne,Australia","-38.10799277777778,145.28253166666667","00:16","5.6","2.6","23.0","2.6","4.5"
"17/02/2023","08:17","17/02/2023","08:34","Riverend Rd 65,3175 Melbourne,Australia","-38.05025055555556,145.14873138888888","Pebble Ave 19,3975 Melbourne,Australia","-38.07718666666667,145.25539138888888","00:17","13.7","4.0","52.0","4.0","9.0"
"17/02/2023","07:54","17/02/2023","08:14","Pebble Ave 19,3975 Melbourne,Australia","-38.077169166666664,145.25536166666666","Riverend Rd 65,3175 Melbourne,Australia","-38.05023972222222,145.14873138888888","00:20","16.4","1.1","53.0","1.1","14.3"
"16/02/2023","20:05","16/02/2023","20:09","Brookwater Pde 19,3975 Melbourne,Australia","-38.077737222222225,145.24916416666667","Pebble Ave 21,3975 Melbourne,Australia","-38.07719916666667,145.25535","00:04","1.0","1.0","18.0","1.0","0.9"
"16/02/2023","19:36","16/02/2023","19:55","Pebble Ave 19,3975 Melbourne,Australia","-38.077175555555556,145.25540138888888","Brookwater Pde 19,3975 Melbourne,Australia","-38.077715,145.24916944444445","00:19","15.2","3.8","51.0","3.8","10.6"
"14/02/2023","15:54","14/02/2023","15:57","Brookwater Pde 19,3975 Melbourne,Australia","-38.07774583333333,145.24923416666667","Pebble Ave 19,3975 Melbourne,Australia","-38.07717972222222,145.2553577777778","00:03","1.0","0.0","22.0","0.0","1.0"
"14/02/2023","08:16","14/02/2023","08:32","Riverend Rd 65,3175 Melbourne,Australia","-38.05027166666667,145.1489875","Pebble Ave 21,3975 Melbourne,Australia","-38.07721083333333,145.25532527777779","00:16","13.7","3.7","54.0","3.7","8.5"
"14/02/2023","07:45","14/02/2023","08:14","Pebble Ave 21,3975 Melbourne,Australia","-38.07725833333333,145.25543666666667","Riverend Rd 65,3175 Melbourne,Australia","-38.050269722222225,145.1489838888889","00:29","16.5","3.2","37.0","3.2","12.4"
"13/02/2023","19:52","13/02/2023","19:57","Remount Way 30,3977 Melbourne,Australia","-38.07949,145.24616416666666","Pebble Ave 21,3975 Melbourne,Australia","-38.07720555555556,145.2553413888889","00:05","2.0","4.8","25.0","4.8","1.2"
"13/02/2023","19:45","13/02/2023","19:49","Brookwater Pde 19,3975 Melbourne,Australia","-38.0776275,145.24911694444444","Remount Way 30,3977 Melbourne,Australia","-38.0795,145.24613527777777","00:04","1.4","0.9","22.0","0.8","1.3"
"13/02/2023","17:06","13/02/2023","17:09","Lyndhurst Blvd 105,3975 Melbourne,Australia","-38.06812,145.2489488888889","Pebble Ave 19,3975 Melbourne,Australia","-38.07717861111111,145.25536416666668","00:03","1.6","0.0","28.0","0.0","1.6"
"13/02/2023","16:32","13/02/2023","16:53","Pebble Ave 21,3975 Melbourne,Australia","-38.07724666666667,145.25542166666668","Lyndhurst Blvd 105,3975 Melbourne,Australia","-38.068130277777776,145.24895388888888","00:21","6.8","5.6","21.0","5.6","4.4"
"12/02/2023","19:45","12/02/2023","20:03","Pebble Ave 19,3975 Melbourne,Australia","-38.07715527777778,145.2553927777778","Pebble Ave 21,3975 Melbourne,Australia","-38.07719361111111,145.25535861111112","00:18","11.6","4.8","42.0","4.8","7.0"
